Kadar Garam (%),Kadar Air (%),Kualitas
95.87329192697503,0.6559760018161593,K1
98.401743330075,0.1264152366772613,K1
98.03624687005771,0.9552930057528322,K1
96.4199998838105,0.476826561848116,K1
97.57256371649379,0.7358551610740827,K1
97.28259945631328,0.6749547635284798,K1
99.85246846797989,0.26687886349120804,K1
95.48401976589187,0.6867834575818321,K1
97.95513450435246,1.3183529437000565,K1
96.9862837358402,1.9985559878443422,K1
96.75946498096522,1.442813335919905,K1
98.18791347265396,1.6261077264949213,K1
99.8811283172691,1.7795873128910804,K1
98.82280987178854,1.3964969556365812,K1
96.67749084837949,0.2953711564134147,K1
95.31318001529905,0.48380340840296965,K1
97.16140740590649,1.043992547259965,K1
98.86541777027436,1.917481846113186,K1
95.58660240192405,0.21400828038758313,K1
97.94847361506775,1.490796147894586,K1
99.24075190173492,1.871664160433577,K1
99.91713121130321,0.7996033844490518,K1
96.90167591763786,0.29561735339454476,K1
98.42467219341779,1.3135239168816741,K1
99.31031297925604,0.19451598957528127,K1
97.48888453912672,1.1621638593441261,K1
96.2077852001996,0.33805081225832256,K1
99.29790418209811,0.11706984447111757,K1
97.35310451959036,0.23166800260177056,K1
97.28529380665684,1.9599246526846186,K1
97.11853176727736,1.7142498350091346,K1
95.58657782091596,0.5425041535237283,K1
97.01896370333667,0.7996242800186615,K1
98.35691739335077,0.6894362547510153,K1
98.56883434205008,1.278373798450785,K1
96.99580572627387,0.8635202553086385,K1
98.0726384990516,0.14008438028928927,K1
99.11203369177845,1.3068423222272738,K1
98.63171232208917,1.0738460021647809,K1
95.55238555495872,0.8100712265938999,K1
97.02686791424279,0.6420859800864338,K1
95.14975162452374,1.4745084851929546,K1
95.5489222903125,1.2126162660901703,K1
98.51608748233608,1.2695726458673895,K1
99.79571125988987,0.20659631017027724,K1
99.335835795526,0.05838046969782651,K1
97.67458427463542,0.8084872358785176,K1
97.6209193019688,0.7301997541200196,K1
95.95283457470035,0.03824579489737956,K1
97.59074906895587,1.6855537253696846,K1
96.86607977872397,0.44572763602996046,K1
95.40266001735922,0.17062184623740673,K1
96.10698223146386,0.20002812184311036,K1
96.3251984918224,0.13229892423390943,K1
95.32802433604962,1.7125523592455638,K1
95.81060130354416,1.119364811646896,K1
98.86727772224515,0.9128191306781333,K1
95.76684438929672,0.3991922842402287,K1
97.16492103140591,1.0564681783570715,K1
96.74720146024268,1.5629592004693227,K1
98.755108244282,1.8544236147462358,K1
95.1447627451348,1.7913825824204068,K1
96.96284394231076,1.7567449907599881,K1
98.45392388078265,1.9746975141479364,K1
98.79641225858335,0.7290892519935732,K1
97.50531586417377,0.7527783103887025,K1
96.82455918010619,0.5218089987621195,K1
97.47985147686735,1.3634798901387224,K1
96.38670135652622,1.04875962215444,K1
95.58690147085278,0.3196905737083826,K1
95.23403177356094,1.9414628855412657,K1
95.0193017575513,0.3571599361153126,K1
98.06433376558496,0.1627391977066106,K1
